trial_number,trial_tag,checkpoint_path,generated_df_path,lr,hidden_features,num_layers,num_blocks,num_bins,beta2,wd,batch_size,scheduler,training_time,sampling_time,peak_mem_train,peak_mem_sample,final_val_loss,ED,p_value,SWDobs,SWDpval,Sinkhorn,chi2_1dm1,chi2_1dcos1,chi2_1dm2,chi2_1dcos2,chi2_1dphi
10,trial000_batch_size2931_beta20p993_hidden_features91_lr0p0012_num_bins8_num_blocks2_num_layers3_schedulercosine_wd2p49em05,optuna_cleanedSPLINEMAY/trial000_batch_size2931_beta20p993_hidden_features91_lr0p0012_num_bins8_num_blocks2_num_layers3_schedulercosine_wd2p49em05/checkpoint.pt,,0.001197855,91,3,2,8,0.992612809,2.4862292955600913e-05,2931,cosine,922.5063480157405,3.9386800713837147,502.769043,496.1181641,7.042621136,0.001071699,0.004975124,0.006260228,0.009966777,0.017851138,4.2515690609463554,7.195414882058967,5.183197622651748,6.062761797,4.343279575
11,trial001_batch_size3185_beta20p96_hidden_features120_lr0p000484_num_bins8_num_blocks2_num_layers3_schedulercosine_wd8p4em05,optuna_cleanedSPLINEMAY/trial001_batch_size3185_beta20p96_hidden_features120_lr0p000484_num_bins8_num_blocks2_num_layers3_schedulercosine_wd8p4em05/checkpoint.pt,,0.000483531,120,3,2,8,0.9600164678634424,8.39658342773299e-05,3185,cosine,851.9476137934253,4.431591878645122,504.3061523,497.7104492,7.040691853,0.001169922,0.004975124,0.004921837,0.083056478,0.017811285331845284,4.201357897812748,7.058268998009793,5.288247229,6.358625980852967,4.290438125788558
12,trial002_batch_size3288_beta20p957_hidden_features35_lr0p00039_num_bins6_num_blocks2_num_layers4_schedulerstep_wd6p57em06,optuna_cleanedSPLINEMAY/trial002_batch_size3288_beta20p957_hidden_features35_lr0p00039_num_bins6_num_blocks2_num_layers4_schedulerstep_wd6p57em06/checkpoint.pt,,0.00038996,35,4,2,6,0.9574778070988744,6.573360729217158e-06,3288,step,1025.2576162852347,4.787849188782275,411.9882813,405.1035156,7.040078639984131,0.001101173,0.004975124,0.005738135,0.033222591,0.018294095993041992,4.914524732800511,9.567272776931706,5.923056486754453,6.769856907,4.753616101859114
13,trial003_batch_size4015_beta20p985_hidden_features119_lr0p00489_num_bins4_num_blocks2_num_layers4_schedulerstep_wd1p29em05,optuna_cleanedSPLINEMAY/trial003_batch_size4015_beta20p985_hidden_features119_lr0p00489_num_bins4_num_blocks2_num_layers4_schedulerstep_wd1p29em05/checkpoint.pt,,0.004889974,119,4,2,4,0.9847511299995768,1.290906013626916e-05,4015,step,863.6658732,5.477046745829284,327.7368164,321.1582031,7.038933753967285,0.000977432,0.009950249,0.006329866,0.016611295681063124,0.017921965569257736,3.9398293747461657,7.1983778299570655,7.1945903874510755,7.005798491,6.178872009398013
14,trial004_batch_size526_beta20p984_hidden_features75_lr0p00307_num_bins5_num_blocks2_num_layers5_schedulerstep_wd1p85em05,optuna_cleanedSPLINEMAY/trial004_batch_size526_beta20p984_hidden_features75_lr0p00307_num_bins5_num_blocks2_num_layers5_schedulerstep_wd1p85em05/checkpoint.pt,,0.003071603,75,5,2,5,0.9844400433175949,1.8529155679095857e-05,526,step,7521.633078099228,5.944887421093881,368.5,361.9116211,7.038885593414307,0.001017897,0.009950249,0.004655285,0.12624584717607973,0.017976843,4.591155509354715,8.071122666193187,6.177607903785466,6.056118033001838,5.042853455488139
15,trial005_batch_size1482_beta20p994_hidden_features68_lr0p00131_num_bins3_num_blocks2_num_layers2_schedulerstep_wd1p19em05,optuna_cleanedSPLINEMAY/trial005_batch_size1482_beta20p994_hidden_features68_lr0p00131_num_bins3_num_blocks2_num_layers2_schedulerstep_wd1p19em05/checkpoint.pt,,0.001313852,68,2,2,3,0.9940804470757817,1.1924441635489358e-05,1482,step,1287.947965,2.603017800487578,279.3759766,272.7773438,7.041565895080566,0.001555998,0.004975124,0.0083392,0.003322259,0.018302185460925102,8.265393603915681,12.124972359921198,6.630720386396567,6.336723044338868,4.620974692165639
16,trial006_batch_size2642_beta20p967_hidden_features98_lr0p000431_num_bins8_num_blocks2_num_layers5_schedulerstep_wd2p04em05,optuna_cleanedSPLINEMAY/trial006_batch_size2642_beta20p967_hidden_features98_lr0p000431_num_bins8_num_blocks2_num_layers5_schedulerstep_wd2p04em05/checkpoint.pt,,0.000431099,98,5,2,8,0.9670851823669698,2.0377592864092775e-05,2642,step,1537.7944221841171,5.504372310824692,504.3588867,497.7734375,7.0399603843688965,0.000979794,0.004975124,0.007974559,0.003322259,0.017974302172660828,4.5613049281419284,7.095237537308419,5.281054093869099,6.154766343,4.164385130282865
17,trial007_batch_size956_beta20p981_hidden_features51_lr0p00111_num_bins8_num_blocks2_num_layers2_schedulercosine_wd5p95em05,optuna_cleanedSPLINEMAY/trial007_batch_size956_beta20p981_hidden_features51_lr0p00111_num_bins8_num_blocks2_num_layers2_schedulercosine_wd5p95em05/checkpoint.pt,,0.001114159,51,2,2,8,0.9807043627495217,5.9528469064195095e-05,956,cosine,1971.1563350772485,2.7001772429794073,500.7216797,494.1289063,7.042582035064697,0.001293281,0.004975124,0.007929961,0.003322259,0.018485452979803085,4.264616785727664,6.993878092728901,5.155571131490003,5.876634575770056,4.2895134030481685
18,trial008_batch_size1228_beta20p994_hidden_features46_lr0p000214_num_bins3_num_blocks2_num_layers3_schedulercosine_wd2p25em06,optuna_cleanedSPLINEMAY/trial008_batch_size1228_beta20p994_hidden_features46_lr0p000214_num_bins3_num_blocks2_num_layers3_schedulercosine_wd2p25em06/checkpoint.pt,,0.00021355,46,3,2,3,0.9939829736741325,2.251769099061002e-06,1228,cosine,1889.7057437272742,3.034514432772994,280.6845703,274.1044922,7.040410519,0.001108215,0.009950249,0.005945666,0.029900332225913623,0.017671715,7.566894888421842,10.011408647522835,8.084727830709141,6.023125930807856,7.121908928070802
19,trial009_batch_size3335_beta20p984_hidden_features97_lr0p00163_num_bins3_num_blocks2_num_layers4_schedulercosine_wd4p04em05,optuna_cleanedSPLINEMAY/trial009_batch_size3335_beta20p984_hidden_features97_lr0p00163_num_bins3_num_blocks2_num_layers4_schedulercosine_wd4p04em05/checkpoint.pt,,0.001632288,97,4,2,3,0.9843554227147058,4.0427524039379013e-05,3335,cosine,956.1314923902974,4.362046483904123,280.2758789,273.6611328,7.038651943206787,0.001130002,0.009950249,0.005896059,0.033222591,0.017955258,7.115654077709057,7.027724469024233,5.333503752307901,5.766384616227688,3.665298871394931
0,trial000_batch_size3585_beta20p967_hidden_features92_lr0p00168_num_bins6_num_blocks2_num_layers6_schedulercosine_wd4p5em05,optuna_cleanedSPLINEMAY/trial000_batch_size3585_beta20p967_hidden_features92_lr0p00168_num_bins6_num_blocks2_num_layers6_schedulercosine_wd4p5em05/checkpoint.pt,,0.001683741,92,6,2,6,0.9668570458062081,4.504133390877071e-05,3585,cosine,1223.3869901718572,6.448671882040799,418.5063477,411.8369141,7.0202484130859375,0.00023099,0.11940298507462686,0.004825632,0.083056478,0.017916537821292877,1.1804332604060734,1.3939501784880945,1.421866737668049,1.2774093859884992,0.9792694877979566
1,trial001_batch_size2809_beta20p977_hidden_features43_lr0p000843_num_bins8_num_blocks2_num_layers8_schedulercosine_wd5em06,optuna_cleanedSPLINEMAY/trial001_batch_size2809_beta20p977_hidden_features43_lr0p000843_num_bins8_num_blocks2_num_layers8_schedulercosine_wd5em06/checkpoint.pt,,0.000843214,43,8,2,8,0.9765290320520967,5.001854635889588e-06,2809,cosine,1998.2683403668925,7.832474080845714,504.4956055,497.8959961,7.021738529205322,0.000184692,0.1890547263681592,0.004441947,0.12292358803986711,0.018121084198355675,1.2193630078104034,1.6197688944553787,1.3357397276936416,1.4004034567057428,0.9720969798866199
2,trial002_batch_size3980_beta20p981_hidden_features78_lr0p000617_num_bins12_num_blocks2_num_layers7_schedulercosine_wd5p6em05,optuna_cleanedSPLINEMAY/trial002_batch_size3980_beta20p981_hidden_features78_lr0p000617_num_bins12_num_blocks2_num_layers7_schedulercosine_wd5p6em05/checkpoint.pt,,0.00061736,78,7,2,12,0.9808032346032768,5.6001256288701275e-05,3980,cosine,1291.331796686165,7.802118365652859,688.0727539,681.4057617,7.023082256317139,0.00023465,0.11940298507462686,0.00469378,0.089700997,0.017908148,1.1086774881378114,1.440207993387348,1.3460235717122884,1.2094605098772444,0.9525403222985426
