trial_number,trial_tag,checkpoint_path,generated_df_path,lr,hidden_features,num_layers,num_blocks,beta2,wd,batch_size,scheduler,training_time,sampling_time,peak_mem_train,peak_mem_sample,final_val_loss,ED,p_value,SWD,Sinkhorn,chi2_1dm1,chi2_1dcos1,chi2_1dm2,chi2_1dcos2,chi2_1dphi
0,trial000_batch_size3016_beta20p97_hidden_features255_lr0p000559_num_blocks3_num_layers7_schedulerstep_wd3p24em05,optuna_chunkednew_runsink2/trial000_batch_size3016_beta20p97_hidden_features255_lr0p000559_num_blocks3_num_layers7_schedulerstep_wd3p24em05/checkpoint.pt,,0.000558851839767856,255,7,3,0.9696851853889108,3.239203096574655e-05,3016,step,634.7769609140232,6.2027972945943475,741.88818359375,733.84375,6.99609899520874,0.00010743414866620782,0.24378109452736318,0.013250810094177723,0.018195629119873047,1.0087321616645,0.8720260564759159,1.0316656544767868,0.8180853898932265,0.8888941446189738
1,trial001_batch_size2798_beta20p951_hidden_features270_lr0p0001_num_blocks4_num_layers7_schedulercosine_wd1p07em06,optuna_chunkednew_runsink2/trial001_batch_size2798_beta20p951_hidden_features270_lr0p0001_num_blocks4_num_layers7_schedulercosine_wd1p07em06/checkpoint.pt,,0.00010044780190565881,270,7,4,0.9506953503200527,1.0707912857247464e-06,2798,cosine,831.5001482600346,9.39268408343196,798.63037109375,790.623046875,6.996067523956299,0.00013679559578028133,0.21890547263681592,0.01470372173935175,0.018277419731020927,0.9910559503672127,0.82168109660232,0.9480024073537975,0.839968438784962,0.8703568118188172
2,trial002_batch_size1422_beta20p965_hidden_features307_lr0p000135_num_blocks2_num_layers4_schedulerstep_wd4p94em05,optuna_chunkednew_runsink2/trial002_batch_size1422_beta20p965_hidden_features307_lr0p000135_num_blocks2_num_layers4_schedulerstep_wd4p94em05/checkpoint.pt,,0.00013455831862785604,307,4,2,0.9654708867042553,4.9358482254388716e-05,1422,step,649.9454066464677,4.028284445405006,825.91015625,817.9267578125,6.996154308319092,0.00010561817068666102,0.23383084577114427,0.013630847446620464,0.018185624852776527,0.9318976766524553,0.9643456993278448,1.087756401720373,0.7641084908048064,0.7837891630722058
3,trial003_batch_size1824_beta20p998_hidden_features411_lr0p000678_num_blocks4_num_layers8_schedulercosine_wd4p12em05,optuna_chunkednew_runsink2/trial003_batch_size1824_beta20p998_hidden_features411_lr0p000678_num_blocks4_num_layers8_schedulercosine_wd4p12em05/checkpoint.pt,,0.0006784724924107677,411,8,4,0.9984859570364725,4.1219674319032036e-05,1824,cosine,1415.4005672708154,18.401325434446335,1216.8447265625,1208.8310546875,6.997346878051758,0.00022000038018399337,0.0945273631840796,0.005895915906876326,0.01858474686741829,0.8965362054275718,0.8462687057619663,0.8851491230472871,0.7932336367786798,0.8669631974796986
4,trial004_batch_size842_beta20p996_hidden_features326_lr0p000797_num_blocks4_num_layers8_schedulerstep_wd1p98em06,optuna_chunkednew_runsink2/trial004_batch_size842_beta20p996_hidden_features326_lr0p000797_num_blocks4_num_layers8_schedulerstep_wd1p98em06/checkpoint.pt,,0.0007973010233151462,326,8,4,0.9957719836473674,1.9818706451715853e-06,842,step,2897.3005914995447,12.689081084914505,965.65283203125,957.68408203125,6.995792388916016,0.0004728842178085557,0.024875621890547265,0.009102524258196354,0.01862432435154915,0.9591324077046637,0.8909253810915111,0.9076486452125441,0.8293429044207745,0.7829523215903396
5,trial005_batch_size1506_beta20p967_hidden_features287_lr0p00107_num_blocks2_num_layers8_schedulercosine_wd7p02em05,optuna_chunkednew_runsink2/trial005_batch_size1506_beta20p967_hidden_features287_lr0p00107_num_blocks2_num_layers8_schedulercosine_wd7p02em05/checkpoint.pt,,0.0010665762335702465,287,8,2,0.9674823441814058,7.0202212204514e-05,1506,cosine,1174.8874204689637,6.104917756281793,805.908203125,797.91455078125,6.996124744415283,-0.00027647912392847473,0.9800995024875622,0.01910206489264965,0.018471090123057365,0.9903820575974845,0.835546373358037,0.9540631310462949,0.7967387346802601,0.9619481570810082
6,trial006_batch_size3355_beta20p952_hidden_features512_lr0p000468_num_blocks2_num_layers6_schedulerstep_wd9p06em06,optuna_chunkednew_runsink2/trial006_batch_size3355_beta20p952_hidden_features512_lr0p000468_num_blocks2_num_layers6_schedulerstep_wd9p06em06/checkpoint.pt,,0.0004682498661168245,512,6,2,0.9519533109388828,9.055707338611866e-06,3355,step,420.1693560760468,8.040520300157368,1338.55126953125,1330.49658203125,6.995881080627441,2.5783268084556e-05,0.4228855721393035,0.011332869529724121,0.018487107008695602,0.9857812158843658,0.8038229310598471,0.9084613610174043,0.7733945397776616,0.7873618272344507
7,trial007_batch_size2120_beta20p968_hidden_features237_lr0p00164_num_blocks3_num_layers8_schedulercosine_wd1p78em06,optuna_chunkednew_runsink2/trial007_batch_size2120_beta20p968_hidden_features237_lr0p00164_num_blocks3_num_layers8_schedulercosine_wd1p78em06/checkpoint.pt,,0.001644546062059282,237,8,3,0.9675749436866593,1.781887496800874e-06,2120,cosine,1052.493251961656,6.567234489135444,704.794921875,696.826171875,6.996182918548584,0.00014274080048926052,0.19402985074626866,0.008391045965254307,0.018165195360779762,1.0222980213045572,0.8368836766844748,0.9429622053905142,0.9240203198024998,0.7609413634256079
8,trial008_batch_size1183_beta20p991_hidden_features319_lr0p000219_num_blocks4_num_layers6_schedulercosine_wd3p96em06,optuna_chunkednew_runsink2/trial008_batch_size1183_beta20p991_hidden_features319_lr0p000219_num_blocks4_num_layers6_schedulercosine_wd3p96em06/checkpoint.pt,,0.00021880867032254245,319,6,4,0.9910996603496517,3.961145865878561e-06,1183,cosine,1769.0836118767038,9.813935687765479,914.9111328125,906.94091796875,6.996650695800781,0.0001752774119925249,0.12437810945273632,0.010356668382883072,0.018451198935508728,1.0072384849168439,0.9127233083400149,1.0223115748726195,0.8451586835682191,0.791845386919813
9,trial009_batch_size1066_beta20p971_hidden_features184_lr0p000914_num_blocks3_num_layers5_schedulercosine_wd1p44em06,optuna_chunkednew_runsink2/trial009_batch_size1066_beta20p971_hidden_features184_lr0p000914_num_blocks3_num_layers5_schedulercosine_wd1p44em06/checkpoint.pt,,0.0009136821443884644,184,5,3,0.9711347207026628,1.437765336931182e-06,1066,cosine,1428.0118560707197,3.309795514680445,564.25439453125,556.2705078125,6.996534824371338,0.0004080897041434106,0.024875621890547265,0.011173799633979797,0.01854611746966839,0.9673592278822535,0.8028641198699635,0.8661663617077121,0.8798788327528267,0.8472797019494048
