trial_number,trial_tag,checkpoint_path,generated_df_path,lr,hidden_features,num_layers,num_blocks,beta2,wd,batch_size,scheduler,training_time,sampling_time,peak_mem_train,peak_mem_sample,final_val_loss,ED,p_value,SWD,Sinkhorn,chi2_1dm1,chi2_1dcos1,chi2_1dm2,chi2_1dcos2,chi2_1dphi
10,trial010_batch_size2769_beta20p989_hidden_features450_lr0p00136_num_blocks3_num_layers8_schedulerstep_wd3p27em06,optuna_cleanedconstraineded/trial010_batch_size2769_beta20p989_hidden_features450_lr0p00136_num_blocks3_num_layers8_schedulerstep_wd3p27em06/checkpoint.pt,,0.0013597171953866783,450,8,3,0.988933242748728,3.269505890129757e-06,2769,step,849.5642753932625,15.026776772923768,1204.20654296875,1196.90087890625,7.006227493286133,0.0021704503286663623,0.004975124378109453,0.02280193194746971,0.02069256268441677,3.9921420481392893,5.743316367336183,12.227848345844123,9.503069299576426,5.399824347136096
0,trial000_batch_size2316_beta20p981_hidden_features419_lr0p000105_num_blocks4_num_layers6_schedulerstep_wd1p29em05,optuna_cleanedconstraineded/trial000_batch_size2316_beta20p981_hidden_features419_lr0p000105_num_blocks4_num_layers6_schedulerstep_wd1p29em05/checkpoint.pt,,0.00010539807109744288,419,6,4,0.9808584163127305,1.2947357291416991e-05,2316,step,931.949463179335,14.416034422814846,1219.84130859375,1213.0859375,6.996100425720215,0.0003029203517450618,0.07960199004975124,0.006849135272204876,0.018343236297369003,0.9538959926657902,0.8305946758525082,0.9240148563952322,0.7487134482480177,0.7613156412934241
1,trial001_batch_size3519_beta20p969_hidden_features242_lr0p000237_num_blocks4_num_layers4_schedulerstep_wd5p14em06,optuna_cleanedconstraineded/trial001_batch_size3519_beta20p969_hidden_features242_lr0p000237_num_blocks4_num_layers4_schedulerstep_wd5p14em06/checkpoint.pt,,0.00023716875658568487,242,4,4,0.9692612750918668,5.1409969843015756e-06,3519,step,436.889766943641,4.649113347753882,733.27099609375,726.5224609375,6.996438503265381,2.639768510004359e-06,0.40298507462686567,0.006462257355451584,0.018050605431199074,1.0188505065334013,1.0215623859132337,0.9831398081435322,0.8662811308225128,1.0485364308394987
2,trial002_batch_size3071_beta20p969_hidden_features144_lr0p000297_num_blocks4_num_layers7_schedulercosine_wd1p78em05,optuna_cleanedconstraineded/trial002_batch_size3071_beta20p969_hidden_features144_lr0p000297_num_blocks4_num_layers7_schedulercosine_wd1p78em05/checkpoint.pt,,0.0002973446152827453,144,7,4,0.969340405448468,1.7839580909389053e-05,3071,cosine,775.5610594879836,4.160228029824793,516.6669921875,509.87109375,6.996312618255615,-0.0002086180827429729,0.9104477611940298,0.006283583119511604,0.018425550311803818,0.9632265041607836,0.8355133127519646,0.9990646143094479,0.8425241014219993,0.8559834958369477
3,trial003_batch_size3353_beta20p968_hidden_features305_lr0p00348_num_blocks3_num_layers5_schedulercosine_wd7p19em06,optuna_cleanedconstraineded/trial003_batch_size3353_beta20p968_hidden_features305_lr0p00348_num_blocks3_num_layers5_schedulercosine_wd7p19em06/checkpoint.pt,,0.0034807274936185214,305,5,3,0.968331117213634,7.1892122916701025e-06,3353,cosine,432.6980657558888,5.987976452335715,877.83740234375,871.111328125,6.99666166305542,-5.7705038537303466e-05,0.5522388059701493,0.0062200529500842094,0.018121667206287384,1.1008716953728552,0.8199397930970478,0.9850421631175388,0.9161192804026078,0.9557066263554101
4,trial004_batch_size1515_beta20p998_hidden_features225_lr0p00173_num_blocks3_num_layers5_schedulercosine_wd2p06em06,optuna_cleanedconstraineded/trial004_batch_size1515_beta20p998_hidden_features225_lr0p00173_num_blocks3_num_layers5_schedulercosine_wd2p06em06/checkpoint.pt,,0.001730375190061877,225,5,3,0.997823357977289,2.064959234061457e-06,1515,cosine,1011.6284383460879,3.852845028974116,690.48779296875,683.75830078125,6.996404647827148,-9.489892900704788e-05,0.6517412935323383,0.00696335406973958,0.01822919212281704,0.9992871930853621,0.8483878200697403,1.0322461766951543,0.8266193267386462,0.978773234613248
5,trial005_batch_size3950_beta20p982_hidden_features326_lr0p000178_num_blocks3_num_layers4_schedulercosine_wd1p56em05,optuna_cleanedconstraineded/trial005_batch_size3950_beta20p982_hidden_features326_lr0p000178_num_blocks3_num_layers4_schedulercosine_wd1p56em05/checkpoint.pt,,0.00017809068759727753,326,4,3,0.9819374052278695,1.558563846988673e-05,3950,cosine,320.69331351295114,5.110520403832197,916.27978515625,909.515625,6.996389389038086,0.00011112706623883639,0.19900497512437812,0.005224442109465599,0.018355414271354675,0.9921962715920517,0.8958901711719325,0.9282921381124316,0.7937089816812959,0.8051069953253065
6,trial006_batch_size3982_beta20p986_hidden_features463_lr0p000176_num_blocks4_num_layers5_schedulerstep_wd3p84em05,optuna_cleanedconstraineded/trial006_batch_size3982_beta20p986_hidden_features463_lr0p000176_num_blocks4_num_layers5_schedulerstep_wd3p84em05/checkpoint.pt,,0.00017566952428644763,463,5,4,0.9855720311365681,3.837407917698412e-05,3982,step,479.550832061097,12.020032077096403,1312.8193359375,1306.0234375,6.996580123901367,0.0002596803990031482,0.11442786069651742,0.006645583547651768,0.01852896250784397,0.9366198347316832,0.8737904574364873,0.9728769984338872,0.8531120645761405,0.8643019641528075
7,trial007_batch_size2581_beta20p969_hidden_features415_lr0p000106_num_blocks4_num_layers4_schedulerstep_wd4p48em05,optuna_cleanedconstraineded/trial007_batch_size2581_beta20p969_hidden_features415_lr0p000106_num_blocks4_num_layers4_schedulerstep_wd4p48em05/checkpoint.pt,,0.00010629981943435946,415,4,4,0.9689458963965474,4.47573905598571e-05,2581,step,580.5287481285632,9.642231727018952,1157.48779296875,1150.7294921875,6.996776103973389,0.0001440973081550112,0.1691542288557214,0.006371511146426201,0.018524155020713806,1.096432392559619,0.9680330855092169,1.0129938975509927,0.915961021864092,0.8986727066583629
8,trial008_batch_size1786_beta20p969_hidden_features507_lr0p00405_num_blocks4_num_layers7_schedulercosine_wd1p78em06,optuna_cleanedconstraineded/trial008_batch_size1786_beta20p969_hidden_features507_lr0p00405_num_blocks4_num_layers7_schedulercosine_wd1p78em06/checkpoint.pt,,0.004051976176843952,507,7,4,0.9687535107011391,1.775023265033859e-06,1786,cosine,1336.3955939440057,17.38462968170643,1514.71533203125,1507.9677734375,,,0.004975124378109453,,1000000.0,,,,,
9,trial009_batch_size4064_beta20p951_hidden_features262_lr0p00258_num_blocks4_num_layers6_schedulerstep_wd4p47em05,optuna_cleanedconstraineded/trial009_batch_size4064_beta20p951_hidden_features262_lr0p00258_num_blocks4_num_layers6_schedulerstep_wd4p47em05/checkpoint.pt,,0.002576178505076608,262,6,4,0.9512689487315124,4.4680118518980755e-05,4064,step,539.6642447179183,8.027019918896258,799.583984375,792.8115234375,6.996213436126709,0.00021914028045877387,0.12437810945273632,0.0067056575790047646,0.018290221691131592,1.0321063526824297,0.9965750157618588,0.9570671866796139,0.8937450510618291,0.8139402762250686
