trial_number,trial_tag,checkpoint_path,generated_df_path,lr,hidden_features,num_layers,num_blocks,beta2,wd,batch_size,scheduler,training_time,sampling_time,peak_mem_train,peak_mem_sample,final_val_loss,ED,p_value,SWD,Sinkhorn,chi2_1dm1,chi2_1dcos1,chi2_1dm2,chi2_1dcos2,chi2_1dphi
0,trial000_batch_size2355_beta20p955_hidden_features182_lr0p000496_num_blocks3_num_layers8_schedulercosine_wd9p41em06,optuna_cleanedusual/trial000_batch_size2355_beta20p955_hidden_features182_lr0p000496_num_blocks3_num_layers8_schedulercosine_wd9p41em06/checkpoint.pt,,0.0004957946836638145,182,8,3,0.9554158117513162,9.410488849586768e-06,2355,cosine,975.0177584029734,5.163599193096161,479.20458984375,471.75927734375,6.996092796325684,1.6285260008963576e-05,0.3880597014925373,0.006502255331724882,0.017748083919286728,0.9833119961626318,0.8335471049648657,0.9728975739072218,0.8671202722782085,0.8143266403090541
1,trial001_batch_size635_beta20p971_hidden_features253_lr0p000704_num_blocks2_num_layers8_schedulerstep_wd2p59em05,optuna_cleanedusual/trial001_batch_size635_beta20p971_hidden_features253_lr0p000704_num_blocks2_num_layers8_schedulerstep_wd2p59em05/checkpoint.pt,,0.0007037049965900762,253,8,2,0.9713239808486571,2.585791423194798e-05,635,step,2920.6121277501807,4.766497036442161,633.5810546875,626.1708984375,6.995960712432861,-1.050645288191987e-05,0.4527363184079602,0.005962287075817585,0.01843724027276039,0.9862143953449342,0.8688650638708921,0.9878736659155674,0.7651568439454212,0.9597691978669175
2,trial002_batch_size2265_beta20p997_hidden_features437_lr0p00204_num_blocks4_num_layers4_schedulercosine_wd1p18em05,optuna_cleanedusual/trial002_batch_size2265_beta20p997_hidden_features437_lr0p00204_num_blocks4_num_layers4_schedulercosine_wd1p18em05/checkpoint.pt,,0.002037051086737338,437,4,4,0.9968962969860428,1.181773478001524e-05,2265,cosine,680.2615555515513,9.649390500970185,1088.515625,1081.06640625,6.997678756713867,-0.00017947247217753315,0.8557213930348259,0.0061625163070857525,0.018180210143327713,1.0128357177384013,1.0134135494353234,0.9371274493726774,0.8601648080754414,0.9073623109965463
3,trial003_batch_size3056_beta20p994_hidden_features464_lr0p00128_num_blocks3_num_layers5_schedulercosine_wd5p42em05,optuna_cleanedusual/trial003_batch_size3056_beta20p994_hidden_features464_lr0p00128_num_blocks3_num_layers5_schedulercosine_wd5p42em05/checkpoint.pt,,0.0012828547374630803,464,5,3,0.9937038612123255,5.4196683470799265e-05,3056,cosine,530.0677126245573,8.769203271716833,1150.7001953125,1143.271484375,6.996440887451172,4.4594803061404065e-05,0.36318407960199006,0.006971192080527544,0.017824918031692505,1.1358509043000076,0.9004311650307184,0.9085042527895965,0.790379345209019,0.7427508416950382
4,trial004_batch_size1644_beta20p989_hidden_features330_lr0p000378_num_blocks3_num_layers5_schedulerstep_wd1p43em05,optuna_cleanedusual/trial004_batch_size1644_beta20p989_hidden_features330_lr0p000378_num_blocks3_num_layers5_schedulerstep_wd1p43em05/checkpoint.pt,,0.00037777636155112505,330,5,3,0.9885084097212378,1.4333143401592538e-05,1644,step,962.4104894734919,6.25107105076313,816.65478515625,809.248046875,6.996151447296143,0.0003502705823223984,0.0845771144278607,0.006275706924498081,0.018236983567476273,0.9614559210013496,0.8715032323570584,0.9197184131947634,0.8400808210043391,0.9529912068650375
5,trial005_batch_size2370_beta20p959_hidden_features266_lr0p000597_num_blocks3_num_layers5_schedulerstep_wd1p04em05,optuna_cleanedusual/trial005_batch_size2370_beta20p959_hidden_features266_lr0p000597_num_blocks3_num_layers5_schedulerstep_wd1p04em05/checkpoint.pt,,0.0005965302295897385,266,5,3,0.9592211439366811,1.0368966741109438e-05,2370,step,674.7737746844068,5.1070012506097555,662.6044921875,655.173828125,6.996574401855469,-2.951483283730738e-05,0.5373134328358209,0.0070006405003368855,0.018390968441963196,1.0946787596828604,0.9092081821850553,0.9026412389706922,0.8061933618490876,1.0085967576889356
6,trial006_batch_size1244_beta20p993_hidden_features491_lr0p0025_num_blocks3_num_layers7_schedulercosine_wd4p13em05,optuna_cleanedusual/trial006_batch_size1244_beta20p993_hidden_features491_lr0p0025_num_blocks3_num_layers7_schedulercosine_wd4p13em05/checkpoint.pt,,0.0025003465418691685,491,7,3,0.9933971535412921,4.1316311004473086e-05,1244,cosine,1651.9814577111974,12.964538278058171,1278.8291015625,1271.41162109375,6.996924877166748,0.0002896242522694159,0.06467661691542288,0.007407249882817268,0.018155205994844437,1.0371513655958138,0.9871222327746034,1.2613080642301724,1.5929160591161906,0.9063420924050558
7,trial007_batch_size1916_beta20p968_hidden_features336_lr0p00367_num_blocks3_num_layers5_schedulercosine_wd2p47em05,optuna_cleanedusual/trial007_batch_size1916_beta20p968_hidden_features336_lr0p00367_num_blocks3_num_layers5_schedulercosine_wd2p47em05/checkpoint.pt,,0.0036721077048663137,336,5,3,0.9684697875640638,2.4691319872675207e-05,1916,cosine,792.0895568607375,5.879181751981378,831.009765625,823.55810546875,6.996600151062012,0.00010641599113991873,0.27860696517412936,0.006829974707216024,0.018121866509318352,1.0603606688454468,0.9666996801794374,1.0963572620074569,0.8058825346597357,1.105399227657323
8,trial008_batch_size1106_beta20p968_hidden_features236_lr0p000443_num_blocks4_num_layers7_schedulercosine_wd1p28em06,optuna_cleanedusual/trial008_batch_size1106_beta20p968_hidden_features236_lr0p000443_num_blocks4_num_layers7_schedulercosine_wd1p28em06/checkpoint.pt,,0.00044320852018010033,236,7,4,0.9681507615454629,1.2827282026130567e-06,1106,cosine,2199.5635781288147,7.34700368065387,621.8212890625,614.41259765625,6.996420860290527,-0.0001536594245123979,0.7761194029850746,0.006503600161522627,0.017757149413228035,1.0573488856047626,0.9269314566449846,0.9066081208955624,0.9229043954516398,0.8079544074228547
9,trial009_batch_size3405_beta20p994_hidden_features287_lr0p00146_num_blocks3_num_layers7_schedulerstep_wd3p05em06,optuna_cleanedusual/trial009_batch_size3405_beta20p994_hidden_features287_lr0p00146_num_blocks3_num_layers7_schedulerstep_wd3p05em06/checkpoint.pt,,0.0014633726954394815,287,7,3,0.9936542504397399,3.0514890682861096e-06,3405,step,621.8230885034427,7.807030037045479,730.51123046875,723.080078125,6.996150016784668,-0.00014337896480043355,0.7761194029850746,0.006054623052477837,0.018095223233103752,0.851952406424363,0.779591392310617,1.0319590347978904,0.7625266714643998,0.7924907133895842
